2011-08-19 07:35:28 Debug: Notice (8): Undefined variable: toBeDisplayed in [C:\xampp\htdocs\quizscript\app\models\question.php, line 100]
2011-08-19 07:35:36 Debug: Notice (8): Undefined variable: question_id in [C:\xampp\htdocs\quizscript\app\models\question.php, line 95]
2011-08-19 07:36:30 Debug: Notice (8): Use of undefined constant QuestionQuiz - assumed 'QuestionQuiz' in [C:\xampp\htdocs\quizscript\app\models\question.php, line 95]
2011-08-19 07:36:30 Debug: Notice (8): Use of undefined constant question_id - assumed 'question_id' in [C:\xampp\htdocs\quizscript\app\models\question.php, line 95]
2011-08-19 07:38:47 Debug: Notice (8): Use of undefined constant QuestionQuiz - assumed 'QuestionQuiz' in [C:\xampp\htdocs\quizscript\app\models\question.php, line 96]
2011-08-19 07:38:47 Debug: Notice (8): Use of undefined constant question_id - assumed 'question_id' in [C:\xampp\htdocs\quizscript\app\models\question.php, line 96]
2011-08-19 10:10:45 Debug: Notice (8): Uninitialized string offset: 36 in [C:\xampp\htdocs\quizscript\app\views\quizzes\register.ctp, line 12]
2011-08-19 10:10:48 Debug: Notice (8): Uninitialized string offset: 36 in [C:\xampp\htdocs\quizscript\app\views\quizzes\register.ctp, line 12]
2011-08-19 10:13:37 Debug: Notice (8): Undefined index: QuizQuestion in [C:\xampp\htdocs\quizscript\app\models\question.php, line 87]
2011-08-19 10:14:49 Debug: Notice (8): Uninitialized string offset: 36 in [C:\xampp\htdocs\quizscript\app\views\quizzes\register.ctp, line 12]
2011-08-19 10:56:05 Debug: Notice (8): Undefined variable: quizquestID in [C:\xampp\htdocs\quizscript\app\controllers\questions_controller.php, line 12]
2011-08-19 10:59:45 Debug: Notice (8): Undefined variable: quiz_id in [C:\xampp\htdocs\quizscript\app\models\question.php, line 122]
2011-08-19 11:09:21 Debug: Notice (8): Undefined variable: redirect in [C:\xampp\htdocs\quizscript\app\controllers\questions_controller.php, line 10]
2011-08-19 11:18:44 Debug: Notice (8): Undefined index: id in [C:\xampp\htdocs\quizscript\app\models\question.php, line 113]
2011-08-19 11:20:27 Debug: Notice (8): Undefined property: Question::$QuizQuestion in [C:\xampp\htdocs\quizscript\app\models\question.php, line 114]
2011-08-19 11:33:42 Debug: Notice (8): Undefined index: Question in [C:\xampp\htdocs\quizscript\app\models\question.php, line 115]
2011-08-19 11:33:42 Debug: Notice (8): Undefined index: Question in [C:\xampp\htdocs\quizscript\app\models\question.php, line 119]
